id;categoria;subcategoria;tipo;texto_español;texto_aymara;texto_quechua;seccion_origen;requiere_revision;candidato_audio;estado
PHR-0090;exploracion;estado_general;pregunta;¿Mal?;¿Jan walïtati?;¿Mana allinchu?;exploracion;TRUE;TRUE;borrador
PHR-0091;exploracion;localizacion_dolor;instruccion;Muéstrame donde te duele;Kawkhitas ustam ukawj uñicht’ayita;Maypi nanasqanmanta qawachiway;exploracion;FALSE;TRUE;borrador
PHR-0092;exploracion;respuesta_dolor;instruccion;Dime si te duele cuando oprimo aquí;Akawj limt’ksmä ukhax ustamti;Willaway kaypi ñit’ispa nanawanchu icha manachu;exploracion;TRUE;TRUE;borrador
PHR-0093;laboratorio;general;termino;Laboratorio;Uñacht'awi utañani;Yachay wasicha;laboratorio;TRUE;FALSE;borrador
PHR-0094;laboratorio;general;termino;Análisis;Uñt'awi;Yachaykamay;laboratorio;TRUE;FALSE;borrador
PHR-0095;laboratorio;general;termino;Muestra;Uñt'ayawi;Rikch'ay;laboratorio;TRUE;FALSE;borrador
PHR-0096;laboratorio;muestras;termino;Sangre;Wilani;Yawar;laboratorio;FALSE;FALSE;borrador
PHR-0097;laboratorio;muestras;termino;Orina;Ch'iwa;Urinay;laboratorio;TRUE;FALSE;borrador
PHR-0098;laboratorio;general;termino;Resultado;Uñt'awi jakhthapiwi;Rikhuchikuy;laboratorio;TRUE;FALSE;borrador
PHR-0099;laboratorio;personal;termino;Paciente;Qullqa jaqi;Hampiq runa;laboratorio;TRUE;FALSE;borrador
PHR-0100;laboratorio;personal;termino;Médico;Qulliri;Hampiq;laboratorio;FALSE;FALSE;borrador
PHR-0101;laboratorio;procedimientos;termino;Inyección;Qulli imantaña;Ruq'i hampi;laboratorio;TRUE;FALSE;borrador
PHR-0102;laboratorio;preparacion;termino;Ayuno;Mank'añ thakhi;Manchariy;laboratorio;TRUE;FALSE;borrador
PHR-0103;laboratorio;recepcion;instruccion;Debe venir en ayunas;Mank'añ thakhi jutama;Manchariywan hamuy;laboratorio;TRUE;TRUE;borrador
PHR-0104;laboratorio;recepcion;instruccion;Tome asiento, por favor;Asiento katuqama;Mayllanapaq tiyay;laboratorio;TRUE;TRUE;borrador
PHR-0105;laboratorio;procedimiento;instruccion;Le tomaremos una muestra de sangre;Wilani uñt'ayawi apt'añani;Yawar rikch'ay apachikuy;laboratorio;TRUE;TRUE;borrador
PHR-0106;laboratorio;resultados;instruccion;Su resultado estará listo mañana;Uñt'awi jakhthapiwi qharu utjani;Rikhuchikuy paqarinmi kachkan;laboratorio;TRUE;TRUE;borrador
PHR-0107;laboratorio;espera;instruccion;Espere un momento, por favor;Mä jach'a k'uchu suyt'ama;Suyaykuy huk ratuchalla;laboratorio;TRUE;TRUE;borrador
PHR-0108;farmacia;general;termino;Medicamento;Qulliri;Hampiq kamayuq;farmacia;TRUE;FALSE;borrador
PHR-0109;farmacia;medicamentos;termino;Pastilla;Qullqi phillipsita;Ruphachaq pilluta;farmacia;TRUE;FALSE;borrador
PHR-0110;farmacia;medicamentos;termino;Jarabe;Qullqi umami;Nawi hampi;farmacia;TRUE;FALSE;borrador
PHR-0111;farmacia;general;termino;Receta;Qulliri qillqaña;Hampiq qillqa;farmacia;FALSE;FALSE;borrador
PHR-0112;farmacia;dosis;termino;Dosis;Juk'ampi apnaqaña;Chaniy;farmacia;TRUE;FALSE;borrador
PHR-0113;farmacia;paciente;termino;Adulto;Jach'a jaqi;Hatun runa;farmacia;FALSE;FALSE;borrador
PHR-0114;farmacia;paciente;termino;Niño;Wawa;Wawa;farmacia;FALSE;FALSE;borrador
PHR-0115;farmacia;paciente;termino;Embarazada;Uta ususi;Warmincha;farmacia;TRUE;FALSE;borrador
PHR-0116;farmacia;general;termino;Enfermedad;Usuta;Unquy;farmacia;FALSE;FALSE;borrador
PHR-0117;farmacia;sintomas;termino;Dolor;Llaquisiña;Nanay;farmacia;TRUE;FALSE;borrador
PHR-0118;farmacia;dosis;termino;Horario;Pachanaka;Pacha rimanakuy;farmacia;TRUE;FALSE;borrador
PHR-0119;farmacia;receta;pregunta;¿Tiene receta médica?;¿Qulliri qillqaña utjiti?;¿Hampiq qillqa kanchu?;farmacia;TRUE;TRUE;borrador
PHR-0120;farmacia;dosis;instruccion;Tome este medicamento dos veces al día;Aka qulliri pä kutwa uru saraqama;Kay hampita iskay kuti punchawpi mikuy;farmacia;TRUE;TRUE;borrador
PHR-0121;farmacia;dosis;instruccion;No exceda la dosis;Janiwa juk'ampi apnaqañati;Ama chaniyta aswan apamuychu;farmacia;FALSE;TRUE;borrador
PHR-0122;farmacia;uso_medicamento;instruccion;Este jarabe es para la tos;Aka qullqi umampi khachaqtaki;Kay nawi hampi qhachariqpaqmi;farmacia;TRUE;TRUE;borrador
PHR-0123;farmacia;administracion;instruccion;Debe tomar con comida;Mank'añampi apnaqama;Mikhuywan hukllachaspa mikuy;farmacia;TRUE;TRUE;borrador
PHR-0124;tratamiento;administracion;instruccion;Este medicamento tienes que tomar;Aka qulla umañamawa;Kay hampita upyanayki tiyan;tratamiento;TRUE;TRUE;borrador
PHR-0125;tratamiento;administracion;instruccion;Este medicamento tienes que tragar;Aka qulla mallantañamawa;Kay hampita millp’unayki tiyan;tratamiento;TRUE;TRUE;borrador
PHR-0126;tratamiento;dosis_diaria;instruccion;Al despertar, dos píldoras;Alwa sartasax pä pildor umantäta;Rikcharispaykiqa iskay pastilla millp'unki;tratamiento;TRUE;TRUE;borrador
PHR-0127;tratamiento;dosis_diaria;instruccion;Al mediodía, antes de comer, dos píldoras;Chikürux janïr manq’kasax pä pildor umantäta;Chawpi punchaw manaraq mikuchkaspa iskay pastilla millp'uqmi kanki;tratamiento;TRUE;TRUE;borrador
PHR-0128;tratamiento;dosis_diaria;instruccion;En la noche, dos píldoras;Arumax pä pildor umantäta;Tutapi iskay pastilla millp'unki;tratamiento;TRUE;TRUE;borrador
PHR-0129;tratamiento;anticonceptivos;pregunta;¿Sabes qué son las píldoras anticonceptivas?;¿Píldoras anticonceptivas sat qullanak uñt’tati?;¿Yachankichu ima pastillakuna kasqanmanta?;tratamiento;TRUE;TRUE;borrador
PHR-0130;tratamiento;anticonceptivos;respuesta;Son muy efectivas para evitar el embarazo;Jan wawanïñatak wali askiwa;Chaykunaqa ancha allinmi mana wiksayakuypi;tratamiento;TRUE;TRUE;borrador
PHR-0131;tratamiento;dosis;instruccion;Debes tomar una píldora cada día a la misma hora;Sapüruw mä pildor pachpa urasar umañamawa;Sapa punchawmi huk pastillata huk kutillapi upyanayki;tratamiento;TRUE;TRUE;borrador
PHR-0132;tratamiento;anticonceptivos;pregunta;¿Conoces los anticonceptivos inyectables?;¿Inyección anticonceptivos sat qullanak uñt’tati?;¿Reqsinkichu inyectable anticonceptivos nisqakunata?;tratamiento;TRUE;TRUE;borrador
PHR-0133;tratamiento;anticonceptivos;respuesta;Son muy efectivas para evitar el embarazo;Jan wawanïñatak wali kusanakawa;Chaykunaqa ancha allinmi mana wiksayakuypi;tratamiento;TRUE;TRUE;borrador
PHR-0134;tratamiento;informacion;respuesta;Existen dos clases;Pä kastaw utji;Iskay clase kan;tratamiento;TRUE;TRUE;borrador
PHR-0135;tratamiento;administracion;instruccion;Este medicamento es para inyectar;Kaya inje lurañataki;Kay hampiqa inyeccionpaqmi;tratamiento;TRUE;TRUE;borrador
PHR-0136;tratamiento;administracion;instruccion;El jarabe;Uka jarawi;Mullp’una hampi;tratamiento;TRUE;TRUE;borrador
PHR-0137;tratamiento;frecuencia;instruccion;Una vez al día;Mä kuti urunxa;Punchawpi chulla kutita;tratamiento;FALSE;TRUE;borrador
PHR-0138;tratamiento;frecuencia;instruccion;Dos veces al día;Sapa uru pä kutiwa;Iskay kuti sapa punchaw;tratamiento;FALSE;TRUE;borrador
PHR-0139;tratamiento;frecuencia;instruccion;Tres veces al día;Kimsa kuti urunxa;Punchawpi kimsa kutita;tratamiento;FALSE;TRUE;borrador
PHR-0140;tratamiento;frecuencia;instruccion;Cuatro veces al día;Pusi kuti urunxa;Tawa kutita sapa punchaw;tratamiento;FALSE;TRUE;borrador
PHR-0141;tratamiento;frecuencia;instruccion;Cada 12 horas;Sapa 12 pachanakawa;Sapa 12 horasmanta;tratamiento;FALSE;TRUE;borrador
PHR-0142;tratamiento;frecuencia;instruccion;Cada 8 horas;Sapa 8 pachanakawa;Sapa 8 horasmanta;tratamiento;FALSE;TRUE;borrador
PHR-0143;tratamiento;frecuencia;instruccion;Cada 6 horas;Cada 6 horas;Sapa 6 horasmanta;tratamiento;TRUE;TRUE;borrador
PHR-0144;tratamiento;momento_dia;instruccion;Por la mañana;Alwaxa;Tutayllamanta;tratamiento;TRUE;TRUE;borrador
PHR-0145;tratamiento;momento_dia;instruccion;Por la noche;Arumanakaxa;Tutanpi;tratamiento;TRUE;TRUE;borrador
PHR-0146;tratamiento;momento_dia;instruccion;Por la tarde;Tarde urunxa;Tardeta;tratamiento;TRUE;TRUE;borrador
PHR-0147;tratamiento;administracion;instruccion;Tiene que tomarlo en ayunas;Ch’usa purakaruw apsuñama;Ch’usaq wiksallata hap’inayki tiyan;tratamiento;TRUE;TRUE;borrador
PHR-0148;tratamiento;administracion;instruccion;Tiene que tomarlo con alimentos;Manq’ampi apt’asiñamawa;Mikhunawan kuska apakunan tiyan;tratamiento;TRUE;TRUE;borrador
PHR-0149;tratamiento;administracion;instruccion;Debe tomarlo después de comer;Manq’añ tukuyatatxa umañawa;Chay pastillata mikhunayki tiyan, upyanayki tiyan;tratamiento;TRUE;TRUE;borrador
PHR-0150;tratamiento;administracion;instruccion;Con mucha agua;Walja umampi;Achka yakuyuq;tratamiento;TRUE;TRUE;borrador
PHR-0151;tratamiento;uso_medicamento;instruccion;Hay que aplicar la crema en el área afectada;Uka crema ukaxa uka usuchjata chiqaru uchañawa;Qhakuruna cremawan k’iri pataman;tratamiento;TRUE;TRUE;borrador
PHR-0152;tratamiento;uso_medicamento;instruccion;Tiene que tomar este jarabe;Aka jarawi apsuñawa;Kay jarabeta apakunayki tiyan;tratamiento;TRUE;TRUE;borrador
PHR-0153;tratamiento;dosis;instruccion;Una cucharilla va a tomar;Ukax mä cucharadita munasini;Huk cucharadita hap’inqa;tratamiento;TRUE;TRUE;borrador
PHR-0154;tratamiento;efectos;advertencia;El medicamento puede provocarle sueño;Uka qullax inas ikiñar puriychistam;Hampiqa puñuchisunkimanmi;tratamiento;TRUE;TRUE;borrador
PHR-0155;tratamiento;apoyo;respuesta;No se olvide;Jan armasimti;Ama qunqaychu;tratamiento;FALSE;TRUE;borrador
PHR-0156;tratamiento;apoyo;respuesta;No se preocupe;Jan llakisimti;Ama llakikuychu;tratamiento;FALSE;TRUE;borrador
