id;categoria;subcategoria;tipo;texto_es;texto_ay;texto_qu;seccion;candidato_audio
PHR-0167;laboratorio;muestra_heces;instruccion;"Evitar tomar medicamentos: antidiarreicos, antiácidos, medicamentos para intoxicaciones que contengan sales de bismuto, carbón vegetal o caolín, contrastes radiológicos con bario y debe evitar supositorios o sustancias laxantes; si lo tomase no debe realizarse el estudio hasta 6-8 días después de suspendido el mismo.";Janiw qullanak apnaqañakiti: janiw anti-diarreico qullanakisa, janiw antiácido qullanakisa, ni bismuto salanakani qullanakisa, carbón vegetal ukhamaraki kaolín ukham qullanakisa apnaqañakiti. Radiografía bario ch’ankhañani qullanaksa janiw apnaqañakiti. Supositorio ukhamaraki laxante qullanaksa janiw apnaqañakiti. Ukham qullanak apnaqasispa, janiw estudio ukax lurasiñapäkiti 6-8 uru qallta qullanak jayt’ata qhipa.;Mana qullanakta ukyaychu: mana anti-diarreico, antiácido qullanakta, ni bismuto salayuq qullanakta, carbón vegetal utaq kaolín ruwasqata ukyaychu. Radiografía bario-yuq contrastekunaqa chaytaqa mana ukyaychu. Supositorio utaq laxante qullanakpas mana ukyaychu. Chay qullanakta ukyaspapas, análisis ruwasqanqa 6-8 p’unchawmantaraqmi qallarinqa qullanakta saqeykuta qhipamanta.;laboratorio;FALSE
PHR-0168;laboratorio;muestra_heces;instruccion;Seguirá una dieta en la que no podrá tomar alimentos que dejan muchos residuos: cereales, coles, ensaladas, frutas de cutícula resistente (tomates, melocotones...), granos de envoltura dura (guisantes,;Manq’a apnaqasiñaniwa: janiw manq’anak residuo waljani manq’añäkiti. Ukhamawa: cereales, repollo, ensalada, q’ara ch’ankha frutanaka (tomate, durazno ukhamanaka), ch’ankha ch’usa grano (arveja,;Mikhuna qatiq kaymanta: mana residuo aswan churqan mikhuna mikhuychu. Kaykunam: cereales, repollo, ensalada, ch’akra aycha sullu frutas (tomate, durazno hina), ch’uru ch’akra grano (arveja,;laboratorio;FALSE
PHR-0169;laboratorio;muestra_heces;instruccion;lentejas, alubias...), en general la ingestión de hidratos de carbono estará restringida.;lenteja, poroto ukhamanaka). Jichhaxa hidrato de carbono ukax juk’ampi apnaqasiñapawa.;lenteja, poroto). Ñawpaq chay hidrato de carbonoqa limitasqañam.;laboratorio;FALSE
PHR-0170;laboratorio;muestra_flujo_vaginal;instruccion;No debe tener relaciones sexuales ni aplicarse óvulos, cremas o duchas vaginales 3 días antes. No debe tener el periodo menstrual, debe haber pasado mínimo 3 días;Janiw jach’a munasiñanakampi utjapxañapäkiti, ni janiw óvulo, crema ukhamaraki ducha vaginalsa apnaqañapäkiti kimsa 3 urunaka nayraqata. Janiw menstruación utjañapäkiti, juk’ampi kimsa 3 uru qhipa wakt’atañapawa.;Mana munanakuykuchu , mana óvulo, crema ni ducha vaginaltaqa ruwakuchu kimsa 3 p’unchaw ñawpaqta. Mana menstruación wakt’aykuchu, ñawpaqmi kimsa 3 p’unchaw pasaykachkanan.;laboratorio;FALSE
PHR-0171;laboratorio;perfil_lipidico;instruccion;Se requiere ayuno.;Ch’akhaña wakisiwa.;Ayunasqa kananmi reqsisqa.;laboratorio;FALSE
PHR-0172;laboratorio;perfil_lipidico;instruccion;La última comida a más tardar a las 7:00 pm, baja en grasas.;Qhipa manq’a ukax jayaq ukjamarus 7:00 p.m. urumpiwa, juk’a grasa ukanïñapawa.;Qhipa mikhunaqa jatunman 7:00 p.m. kamachiywanmi, grasayuq mana kasqa kananpaq.;laboratorio;FALSE
PHR-0173;laboratorio;perfil_lipidico;instruccion;Después de esta hora y hasta las 10 pm. solo se puede consumir un vaso con agua.;Uka pachan qhiparu ukhamaraki 10 p.m. urukama, sapakiw uma juk’a vaso ukaxa umañataki wakisi.;Chay horamanta qhipaq 10 p.m. kasqakam, sapa vasomanta yakuñam chaskikun.;laboratorio;FALSE
PHR-0174;laboratorio;perfil_lipidico;instruccion;En la mañana no consumir ningún alimento (Ni bebida antes del examen, ejemplo: café o tragos, etc.).;Alwa pachan janiw kunsa manq’añäkiti (ni umaña: café jan ukax trago ukhamanaksa, análisis nayrjama).;Paqarinpi manam mikhuychu (ni umaychu hukmanta, hina: café utaq trago hina, antes del análisis).;laboratorio;FALSE
PHR-0175;laboratorio;muestras_sangre;instruccion;PERFIL COAGULACIÓN T. Parcial de Tromboplastina PTT Magnesio Calcio Iónico PERFIL DE HIERRO Perfil Tiroideo Perfil Prostatico CK Total / CK-MB Procalcitonina No tomar anticoagulantes, vitaminas y/o suplementos antes de la toma de muestra.;Coagulación uñjaña perfil:Tromboplastina PTT (jisk’a uñjaña) Magnesio Calcio IónicoCh’iyar q’añu (hierro) uñjaña perfil Tiroideo uñjaña perfil Próstata uñjaña perfil CK Total / CK-MB Procalcitonina Uñjañatakixa janiw anticoagulante, vitamina ukat suplemento (yänaka) manq’añamäkiti uñjañataki.;Coagulación perfil: Tromboplastina PTT (ch’ulla qhawariy) Magnesio Calcio Iónicu Q’ellu (hierro) perfil Tiroideo perfil Próstata perfil CK Total / CK-MB Procalcitonina muestra qhapanakunap before, ama uyariychu anticoagulantes, vitaminakunata utaq suplemento;laboratorio;FALSE
PHR-0176;laboratorio;muestras_sangre;instruccion;Cortisol am: La muestra se debe tomar entre las 8:00 am y las 10:00 am.;Cortisol alwa (am): Uñjaña 8:00 am ukata 10:00 am taypin apthapiñapa. Cortisol aruma (pm):;Cortisol paqarin (am): Qhapaq kay 8:00 am – 10:00 am hukninam ruwasqa kanan.Cortisol chisi (pm):Qhapaq kay 14:00 pm – 16:00 pm;laboratorio;FALSE
PHR-0177;laboratorio;muestras_sangre;instruccion;Cortisol pm: la toma de muestra es entre las 14: 00 pm a 16: 00 pm;Uñjaña 14:00 pm ukata 16:00 pm taypin apthapiñapa.;hukninam ruwasqa kanan.;laboratorio;FALSE
PHR-0178;laboratorio;biologia_molecular;instruccion;Tomar muestra con hisopos y MT molecular. No usar pomadas tópicas genitales, tratamientos de óvulos, no encontrarse en el periodo menstrual.;Hisoponakampi ukhamaraki MT molecularampi uñakipt’aña. Janisa genital janchi q’urawi pomadanaka apnaqañamti, janisa óvulonaka qullañamti, ukhamaraki jan menstruación pachan jikisiñamti.;Hisopokunawan hina MT molecularwan rikch’akuy. Ama apamuychu genital llinphuy qullanakata, ama óvulo qullanakata, amaqa k’anchay pacha (menstruación) waqtaykuchu.;laboratorio;FALSE
PHR-0179;laboratorio;biologia_molecular;instruccion;Muestra: Heces fecales Recolectar en frasco estéril. En caso de no poder traer la muestra en el día, refrigerar de 2 a 8 °C Bebés: recolectar en el reverso del pañal y transferirlo a un frasco estéril. Muestra: Heces fecales Recolectar en frasco estéril. En caso de no poder traer la muestra en el día, refrigerar de 2 a 8 °C Bebés: recolectar en el reverso del pañal y transferirlo a un frasco estéril.;Uñjaña: Wila q’añu (heces fecales) Jani k’añaskañ fraskonaka qollanampi katjasa apthapiña. Uka uru apayañatakis jan atkaspa, 2° ukat 8°C taypin refrigeratorampi imaña. Wawa taykanaka: Pañal taypita apthapiña ukat jani k’añaskañ fraskoru ch’iqtayaña.;Qhapaq kay: Q’añi (heces fecales) K’usisqa frascopi qhapanakuy. Mana chay punchawpi apamuyta atikuzqa, 2° asta 8°C nisqapi chiri wasipi churay. Wawapaq: Pañalpa wisch’uyuq ñawpaqmantapi qhapanakuy, chaymanta k’usisqa frascopi churay.;laboratorio;FALSE
PHR-0180;laboratorio;biologia_molecular;instruccion;Tomar muestra con hisopo y MT molecular. Soplarse la nariz antes de la toma si está congestionada.;Hisoponampi ukat MT molecularampi uñakipt’aña. Janch’i jank’aki ukaxa, uñakipt’añ before janch’i thuqhta.;Hisopowanta ukata MT molecularwan qhapanakuy. Sinqayki phutuykuspa, ñawpaqta qhapanakuyta ruwakuy.;laboratorio;FALSE
PHR-0181;laboratorio;biologia_molecular;instruccion;Recolectar el LCR en frasco estéril por un;LCR uka uñjaña jani k’añaskañ fraskon;LCR nisqawan qhapanakuy k’usisqa;laboratorio;FALSE
PHR-0182;laboratorio;biologia_molecular;instruccion;doctor. En caso de no poder traer la muestra en el día, refrigerar de 2 a 8 °C.;dokturampi apthapiña. Uka uru apayañatakisa jan atkaspa, 2° ukat 8°C taypin refrigeratorampi imaña.;frascopi, doctormanta. Mana chay punchawpi apamuyta atikuzqa, 2° asta 8°C nisqapi chiri wasipi churay.;laboratorio;FALSE
PHR-0183;laboratorio;biologia_molecular;instruccion;Recolectar en recipiente estéril por la mañana (primera expectoración) que no sea una muestra salival. Otras Muestras: Recolectar en frasco estéril. En caso de no poder traer la muestra en el día, refrigerar de 2 a 8 °C.;Jutiri uñjaña: Alwata (nayrïri warari) jani k’añaskañ recipiente taypina apthapiña, ukaxa janiw t’aqa qhicha uñjañäkiti. Yaqha uñjañanaka: Jani k’añaskañ fraskonaka taypina apthapiña. Uka uru apayañatakisa jan atkaspa, 2° ukat 8°C taypin refrigeratorampi imaña.;Ñawpaq qhapaq kay: Paqarin (qayna ñawpaqta waqey) k’usisqa recipientepi qhapanakuy, manaraq t’akya (saliva) qhapaqchu. Huk qhapaqkuna: K’usisqa frascopi qhapanakuy. Mana chay punchawpi apamuyta atikuzqa, 2° asta 8°C nisqapi chiri wasipi churay.;laboratorio;FALSE
PHR-0184;laboratorio;indicaciones_generales;instruccion;NO consumir bebidas alcohólicas el día anterior a los exámenes.;Janiw uka urunak qhiparu trago (alcohol) umañakiti análisis layku;Mana umaychu trago (alcohol) ñawpaq p’unchawpi análisispaq.;laboratorio;FALSE
PHR-0185;laboratorio;indicaciones_generales;instruccion;NO realizar ejercicio 24 horas antes del examen;Janiw 24 horas nayrïr uru tuqin ejercicio lurapxañapäkti análisis layku.;Mana ruwakuychu ejercicio 24 horas ñawpaqta, análisispaq.;laboratorio;FALSE
PHR-0186;laboratorio;indicaciones_generales;instruccion;NO fumar antes de realizarse el examen.;Janiw iq’t’asiñapäkiti análisis lurañat nayraqata.;Mana iq’iychu análisis ruwasqanmanta ñawpaqta.;laboratorio;FALSE
PHR-0187;laboratorio;indicaciones_generales;instruccion;Si está tomando algún medicamento informar en la toma de la muestra.;Qullanaka apnaqasiski ukhaxa, wakichäwinx yatiyañawa..;Qullaqa ukyaspaqa, muestrachaykama rimakuykachkanqa.;laboratorio;FALSE
